username,repo_name,stars,repo_url
flutter,flutter,146000,https://github.com/flutter/flutter
justjavac,free-programming-books-zh_CN,96900,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,73000,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,58200,https://github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,46800,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,44500,https://github.com/wasabeef/awesome-android-ui
Solido,awesome-flutter,44000,https://github.com/Solido/awesome-flutter
square,okhttp,43200,https://github.com/square/okhttp
android,architecture-samples,41800,https://github.com/android/architecture-samples
square,retrofit,40800,https://github.com/square/retrofit
dcloudio,uni-app,37400,https://github.com/dcloudio/uni-app
fastlane,fastlane,36000,https://github.com/fastlane/fastlane
PhilJay,MPAndroidChart,35800,https://github.com/PhilJay/MPAndroidChart
airbnb,lottie-android,33400,https://github.com/airbnb/lottie-android
bumptech,glide,33100,https://github.com/bumptech/glide
shadowsocks,shadowsocks-android,33100,https://github.com/shadowsocks/shadowsocks-android
laurent22,joplin,33000,https://github.com/laurent22/joplin
skylot,jadx,32299,https://github.com/skylot/jadx
Blankj,AndroidUtilCode,31600,https://github.com/Blankj/AndroidUtilCode
xitu,gold-miner,31500,https://github.com/xitu/gold-miner
